cent_lat,cent_lon,cluster,n_accidentes
41.397367523384965,2.1341191360863774,90,765
41.394325728282936,2.1669758777010633,103,750
41.39084476916954,2.1610498706529597,98,733
41.39409501134773,2.149989792506609,148,721
41.390296280299566,2.1714517306827203,129,700
41.38772535209923,2.158475395683771,167,700
41.38897178639473,2.1679543342417813,78,682
41.38720129827764,2.1955165494353324,83,672
41.40414427036459,2.179224366627827,197,672
41.398801705035396,2.169226556240335,71,634
41.396809990629656,2.160072796138595,124,622
41.38518030510843,2.162054502858609,3,621
41.39208201350546,2.143986171785551,100,619
41.38512044428601,2.1553341379259017,81,618
41.39521541540969,2.155487275798004,50,617
41.391251821356114,2.1382104614218718,65,607
41.40701356894888,2.1500448098719245,160,588
41.391905417690474,2.164560485560278,181,585
41.406827583407,2.18336948573096,29,570
41.375339746006844,2.148527844227214,88,565
41.37488438982167,2.1757932499390824,91,549
41.388310977316586,2.127400614681566,131,547
41.382384272632564,2.1589580020080357,194,545
41.41030348939655,2.18672716100719,113,540
41.40106293715542,2.1757601100962534,191,539
41.38004113746361,2.1439383195695134,43,539
41.42722797800127,2.1435021497650903,4,538
41.39528177786297,2.1764717448441058,152,535
41.39774190900122,2.143585553650709,17,521
41.38177897856903,2.150893263961414,133,518
41.40449659190688,2.1891839958710557,104,515
41.38186898279986,2.1824333872015433,162,509
41.40073630670222,2.183336073645939,161,498
41.386771449648066,2.1651084428685974,156,497
41.42895318937352,2.175263596950935,120,496
41.41277408028101,2.168439526636418,40,495
41.36445430715981,2.135897939375597,44,495
41.37757258863084,2.1523605461039743,14,486
41.41526842594561,2.1382813382242714,105,484
41.40442859413946,2.1426306099264054,123,481
41.398052278441185,2.1640867052620187,175,480
41.406408220335926,2.1760341516708213,119,479
41.373099824765085,2.146131071926126,147,477
41.40906389005271,2.1726705412639604,54,474
41.39759384533022,2.180343193042598,111,471
41.39215676751868,2.200692221141921,15,467
41.42262507955892,2.186113179104714,121,462
41.39908413236151,2.1732287844417546,52,462
41.390203222600995,2.15493630098947,170,462
41.41394785105656,2.19201560061052,185,447
41.402292589483984,2.165959751281744,13,445
41.401846409986724,2.1369259363301314,7,442
41.392828464068536,2.1739011025645776,35,438
41.37442577549222,2.1680553639238718,126,430
41.41485570708474,2.2035533996607843,134,425
41.38934620628649,2.133008824529397,110,423
