Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
Festes i tradicions,Ajuntament de Barcelona,Festes,,1491846.0,Diversos espais ciutat,Institut de Cultura. Ajuntament de Barcelona,Diàlegs de Sant Jordi,2017-04-22,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,80000.0,,Institut de Cultura. Ajuntament de Barcelona,Nit del Drac - Nit d'Homenatges,2017-04-22,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,600000.0,,Institut de Cultura. Ajuntament de Barcelona,Diada de Sant Jordi,2017-04-23,0
Festes i tradicions,Mixta,Festes,193.0,,Barri de Sant Antoni,Diverses entitats,La Festa Catalana,2017-05-06,0
Festes i tradicions,Ajuntament de Barcelona,Festes,2.0,3197.0,Museus de l'Institut de Cultura,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-07,0
Festes i tradicions,Mixta,Festes,,,Diferents espais de la ciutat,Diverses entitats,La Festa Catalana,2017-05-08,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-09,0
Festes i tradicions,Mixta,Festes,,,"Barri de Gràica, Sant Gervasi i la Bordeta",Diverses entitats,La Festa Catalana,2017-05-10,0
Lletres,Ajuntament de Barcelona,Festes,,944.0,,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-11,0
Lletres,Ajuntament de Barcelona,Festes,,700.0,,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-12,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,La Festa Catalana,2017-05-13,0
Festes i tradicions,Ajuntament de Barcelona,Festes,11.0,180899.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-14,0
Festes i tradicions,Mixta,Festes,,,Diferents espais de la ciutat,Diverses entitats,La Festa Catalana,2017-05-15,0
Ciència,Ajuntament de Barcelona,Festes,12.0,20000.0,Parc de la Ciutadella,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-16,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,Diverses entitats,La Festa Catalana,2017-05-17,0
Festes i tradicions,Mixta,Festes,,,Diversos carrers del barri de Gràcia,Diverses entitats,La Festa Catalana,2017-05-18,0
Festes i tradicions,Mixta,Festes,,,Diversos carrers del barri de Sants,Diverses entitats,La Festa Catalana,2017-05-19,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,La Festa Catalana,2017-05-20,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,1393067.0,Diversos espais ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-21,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,94000.0,Av. Maria Cristina i les fonts de Montjuïc,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-22,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,750000.0,Diversos espais,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-23,0
Festes i tradicions,Mixta,Festes,,,Barri de Sant Antoni,Diverses entitats,La Festa Catalana,2017-05-24,0
Festes i tradicions,Ajuntament de Barcelona,Festes,3.0,2536.0,Museus de l'Institut de Cultura,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-25,0
