cluster,hora,lat,lon,probabilidad,riesgo
0.0,0,41.40095526849904,2.1792554989511763,0.26229066,Medio
0.0,2,41.40095526849904,2.1792554989511763,0.17339598,Bajo
0.0,4,41.40095526849904,2.1792554989511763,0.14996617,Bajo
0.0,6,41.40095526849904,2.1792554989511763,0.17208469,Bajo
0.0,8,41.40095526849904,2.1792554989511763,0.17883587,Bajo
0.0,10,41.40095526849904,2.1792554989511763,0.24575906,Bajo
0.0,12,41.40095526849904,2.1792554989511763,0.37460533,Medio
0.0,14,41.40095526849904,2.1792554989511763,0.42699766,Alto
0.0,16,41.40095526849904,2.1792554989511763,0.35907134,Medio
0.0,18,41.40095526849904,2.1792554989511763,0.3553032,Medio
0.0,20,41.40095526849904,2.1792554989511763,0.37057596,Medio
0.0,22,41.40095526849904,2.1792554989511763,0.35292566,Medio
1.0,0,41.378554113397776,2.1208785193359043,0.25365704,Medio
1.0,2,41.378554113397776,2.1208785193359043,0.17875837,Bajo
1.0,4,41.378554113397776,2.1208785193359043,0.18306907,Bajo
1.0,6,41.378554113397776,2.1208785193359043,0.20190907,Bajo
1.0,8,41.378554113397776,2.1208785193359043,0.21212858,Bajo
1.0,10,41.378554113397776,2.1208785193359043,0.26084006,Medio
1.0,12,41.378554113397776,2.1208785193359043,0.41145,Alto
1.0,14,41.378554113397776,2.1208785193359043,0.47468936,Alto
1.0,16,41.378554113397776,2.1208785193359043,0.41275012,Alto
1.0,18,41.378554113397776,2.1208785193359043,0.39241782,Medio
1.0,20,41.378554113397776,2.1208785193359043,0.423259,Alto
1.0,22,41.378554113397776,2.1208785193359043,0.30106714,Medio
2.0,0,41.43422816536467,2.172179441874517,0.29938242,Medio
2.0,2,41.43422816536467,2.172179441874517,0.20261833,Bajo
2.0,4,41.43422816536467,2.172179441874517,0.20383418,Bajo
2.0,6,41.43422816536467,2.172179441874517,0.19624299,Bajo
2.0,8,41.43422816536467,2.172179441874517,0.2645318,Medio
2.0,10,41.43422816536467,2.172179441874517,0.33379036,Medio
2.0,12,41.43422816536467,2.172179441874517,0.49375942,Alto
2.0,14,41.43422816536467,2.172179441874517,0.5563443,Alto
2.0,16,41.43422816536467,2.172179441874517,0.48905382,Alto
2.0,18,41.43422816536467,2.172179441874517,0.47929624,Alto
2.0,20,41.43422816536467,2.172179441874517,0.5039712,Alto
2.0,22,41.43422816536467,2.172179441874517,0.4354645,Alto
3.0,0,41.38509203403635,2.1621691621106587,0.24944863,Bajo
3.0,2,41.38509203403635,2.1621691621106587,0.17918535,Bajo
3.0,4,41.38509203403635,2.1621691621106587,0.15165675,Bajo
3.0,6,41.38509203403635,2.1621691621106587,0.21122278,Bajo
3.0,8,41.38509203403635,2.1621691621106587,0.13088377,Bajo
3.0,10,41.38509203403635,2.1621691621106587,0.1878352,Bajo
3.0,12,41.38509203403635,2.1621691621106587,0.33002493,Medio
3.0,14,41.38509203403635,2.1621691621106587,0.35075268,Medio
3.0,16,41.38509203403635,2.1621691621106587,0.31293976,Medio
3.0,18,41.38509203403635,2.1621691621106587,0.31039053,Medio
3.0,20,41.38509203403635,2.1621691621106587,0.32415763,Medio
3.0,22,41.38509203403635,2.1621691621106587,0.29582357,Medio
4.0,0,41.42718887498297,2.1433951769690154,0.15807205,Bajo
4.0,2,41.42718887498297,2.1433951769690154,0.10269933,Bajo
4.0,4,41.42718887498297,2.1433951769690154,0.098857276,Bajo
