Any,Ambit,Titularitat,Tipus,Edicio,Festa,DataInici,DataFi,Assistents,Espai,Organitzador,Nota
2017,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Cavalcada de Reis",5/1/2017,5/1/2017,600000,,"Institut de Cultura. Ajuntament de Barcelona",
2017,"Festes i tradicions",Mixta,Festes,192,"Cavalcada dels Tres Tombs ",21/1/2017,21/1/2017,,"Barri de Sant Antoni","Diverses entitats",
2017,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Festes de Santa Eulàlia",10/2/2017,14/2/2017,,"Diversos espais de Ciutat Vella","Institut de Cultura. Ajuntament de Barcelona",
2017,"Festes i tradicions",Mixta,Festes,,Carnaval,23/2/2017,1/3/2017,,,"Diverses entitats",
2017,"Festes i tradicions",Mixta,Festes,,"Sant Medir",3/3/2017,3/3/2017,,"Barri de Gràica, Sant Gervasi i la Bordeta","Diverses entitats",
2017,Lletres,"Ajuntament de Barcelona",Festes,,"Diàlegs de Sant Jordi",20/4/2017,22/4/2017,895,,"Institut de Cultura. Ajuntament de Barcelona",
2017,Lletres,"Ajuntament de Barcelona",Festes,,"Nit del Drac - Nit d'Homenatges",22/4/2017,22/4/2017,400,,"Institut de Cultura. Ajuntament de Barcelona",
2017,"Festes i tradicions",Mixta,Festes,,"Diada de Sant Jordi",23/4/2017,23/4/2017,,,"Diverses entitats",
2017,"Festes i tradicions","Ajuntament de Barcelona",Festes,5,"La Festa Catalana",6/5/2017,18/11/2017,16900,"Av. de la Catedral / Plaça Nova","Institut de Cultura. Ajuntament de Barcelona",
2017,"Festes i tradicions","Ajuntament de Barcelona",Festes,10,"Nit dels Museus",20/5/2017,20/5/2017,159209,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,Ciència,"Ajuntament de Barcelona",Festes,11,"Festa de la Ciència",27/5/2017,28/5/2017,15000,"Parc de la Ciutadella","Institut de Cultura. Ajuntament de Barcelona",
2017,"Festes i tradicions",Mixta,Festes,,"L'ou com balla",15/6/2017,18/6/2017,,,"Diverses entitats",
2017,"Festes i tradicions",Mixta,Festes,,"Revetlla de Sant Joan",23/6/2017,23/6/2017,,,"Diverses entitats",
2017,"Festes i tradicions",Mixta,Festes,,"Festa Major de Gràcia",14/8/2017,21/8/2017,,"Diversos carrers del barri de Gràcia","Diverses entitats",
2017,"Festes i tradicions",Mixta,Festes,,"Festa Major de Sants",19/8/2017,27/8/2017,,"Diversos carrers del barri de Sants","Diverses entitats",
2017,"Festes i tradicions",Mixta,Festes,,"Diada de l'Onze de Setembre",11/9/2017,11/9/2017,,,"Diverses entitats",
2017,"Festes i tradicions","Ajuntament de Barcelona",Festes,1,"Museu Endins",2/12/2017,2/12/2017,2539,"Museus de l'Institut de Cultura","Institut de Cultura. Ajuntament de Barcelona",
2017,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"La Mercè",22/12/2017,25/12/2017,1491846,"Diversos espais ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Espectacle Nit de Cap d'Any",31/12/2017,31/12/2017,80000,,"Institut de Cultura. Ajuntament de Barcelona",
